comments,sentiments,compound
"Well,   my computer science education has met parochialism here in one company where I work as an elevator technician/engineer. ",pos,0.2732
Do we have any chemist selling Akara? Please talk to us ,pos,0.3182
am a chemist,neu,0.0
Working as a security officer,pos,0.34
God ,pos,0.2732
 Are you kidding me? ,pos,0.1027
 I don't know what lalasticlala studied but I'm sure that's not related to what he's doing right now. ,pos,0.4497
 I studied Political Science/Public Admin,neu,0.0
I studied petrochemical engineering but here I am working in a police station  ,neu,0.0
Nigeria magic!!!,neu,0.0
i Bet more than 90% of the folks here didn't practice what they studied. Main reason I attest to the fact that there are courses that are useless as far as Nigeria is concerned. ,neg,-0.4215
"If you're not in the medical field,   then BOOM,   oyo  your case. ",neu,0.0
"Law students self Dey drag you make you come swear affidavit for their side. If I get any Wuhan scholarship laidis,   oooinn,    to Jakpa.",neg,-0.2732
"I studied petroleum engineering,   I work as a body guard to a top politician. ",pos,0.2023
Dem say make we read say good job go come.,pos,0.4404
Hope you all have seen....,pos,0.4404
I studied Linguistics working at ministry of agric,neu,0.0
"I studied library and information science,   currently am working as an information consultant",neu,0.0
"I studied Bizz ADM,  I'm an entrepreneur making millions from my field of study.. Bizz ADM ",neu,0.0
is among the best course to study...,pos,0.6369
forget government jobs.,neg,-0.2263
I studied computer science and I'm working at MTN,neu,0.0
So we actually studied same course ,neu,0.0
"Well I studied Pol science,   And am now a chache boy ",pos,0.2732
"Studied Transport Management ,  working as a Logistics and procurement officer.",neu,0.0
 CURRENTLY WORKING AS A BEER DRINKER AND NAIRALAND POSTER (PART TIME).,neu,0.0
Studied Economics but currently a phone technician ( sales & repair) and also trade Forex and Options,neu,0.0
Industrial physics. ,neu,0.0
Nuclear scientist now.,neu,0.0
Private firm sha.,neu,0.0
"I studied Banking and Finance but,   now a Transporter..",neu,0.0
Hi to Cooperate Bankers in the house,neu,0.0
brother life is not fair at all oooo ,neg,-0.2411
in a developed country people looks for jobs and get employed but in my father's land,neu,0.0
Looking for job is our job,neu,0.0
"Oh Wow,   You are now an Admin of a Public Forum ",pos,0.5859
"this your job good oooo brother,   if vacancy  tell me",pos,0.4404
Bro please where can I train to be a Elevator Technician,pos,0.3182
Studied accounting working as an auditor/accountant. There is no rule or law that says you must practice what you studied. 95% of occupations just require common sense asides medical and most science related fields..,neg,-0.296
"NCE Physics and Chemistry,    BSc Geology,   currently am a Teacher and a part time Delivery manager for a logistics company...",neu,0.0
"Studied Financial management Technology,   By his GRACE,    working with one the top federal government ministry",pos,0.6523
"Civil engineering but now I'm a ""solar guy"" and I  find electricity fascinating these days.",pos,0.6956
Whilst in 200l I resented EEE courses but Alas... Life ,neg,-0.2023
Theatre Arts. I am a baker,neu,0.0
Peace and conflict management but now I cause trouble  ,neg,-0.4497
I studied Science Laboratory Technology and I'm  pressently working in a pharmaceutical industry as a Quality Analyst. ,neu,0.0
Valid!,neu,0.0
I studied Accounting but I am a Facilities Manager in Lekki,neu,0.0
Physics working as Telecoms Engineer,neu,0.0
Imagine,neu,0.0
"I work in a Bank, I did Engineering, What I do in the Bank and What I studied are not related by 2000 miles.",neu,0.0
"i studied civil engineering, and i practice my engineering",neu,0.0
Philosophy. Now a social media manager and Jumia Sales Consultant.,neu,0.0
I study Business Admin. I am a professional marketer,neu,0.0
Nigeria is Scam,neg,-0.5719
Studied microbiology presently heading the microbiology unit of the quality control department of a pharmaceutical production company,neu,0.0
"Business Admin,   industrial relation and personal management...Presently,   Telecom Infrastructural Engineer  ...",neu,0.0
Currently studying pharmacy..And I'll definitely practice with my degree.,pos,0.4019
Please how were you able to get this job,pos,0.3182
Industrial Mathematics but working as a graphics designer,neu,0.0
"studied building at unizik,  currently working with a construction company. I so much love construction world.",pos,0.6682
may God help your condition brother,pos,0.5859
Yet your job has no name,neg,-0.296
Accounting One of the greatest Accountant on Earth.... making waves as an Accountant CEO of my Companies Billionaire by 2022,pos,0.6369
Biochemistry Currently a business man,neu,0.0
I studied Medicine. But now I work as an online Bubu Zombie. Earning 30k  ,neu,0.0
Mechanical engineering working as Programmer/Freelancer,neu,0.0
studied business admin and electronic/electrical.. working as a syrup room technician for a beverage producing company,neu,0.0
Studied accounting but working for an insurance company as a third party motor vehicle insurance marketer,pos,0.5499
I studied Mechanical Engineering (first class) but now a Tax and Management Consultant.,neu,0.0
The quantitative aspect of my engineering helped me a lot to axe some of the aptitude tests and scholarship exams even qualifying as a chartered accountant without repeating any paper.,neg,-0.1027
"I studies Business Administration and I trade forex. By the way,   I snap girls picture...  ",neu,0.0
"Studied Biochemistry. Self employed with 12 staff,   we are into real estates,   car dealing and general contractor. ",neu,0.0
"Banking and Finance,  ...But now a shoemaker. I'm a female though...Go checkout my page ",neu,0.0
"I studied Banking and finance,   went for masters in Business Admin,   second masters in Economics,   3rd masters in Business innovation,   ICAN,   ICSAN,   and FNIM.",pos,0.3818
I am a company secretary,neu,0.0
Economics but working as an Accountant.,neu,0.0
Guidance and Counselling...at present laptops sales and repair,neu,0.0
"Studied Pharmacy,  working now as an Exotic Pharmacists  ",neu,0.0
I'm still studying physics I hope I get a job though am in 2.2,pos,0.4404
please tell me in the name of God dat you are not serious.,pos,0.5606
What a stupid Country we live in,neg,-0.5267
I read Accounting but ended up as a Proprietor.,neu,0.0
Agricultural engineer turned farmer,neu,0.0
Nice one Sir,pos,0.4215
I studied civil engineering and currently working as a secretary and also an entrepreneur (poultry farmer) ,neu,0.0
Nigeria all the way,neu,0.0
Majored in Mechanical Engineering. ,neu,0.0
Work as a field engineer in a multinational.,neu,0.0
Economics as a part time program and Sociology as a full time program. I am currently an auto dealer smh,neg,-0.3182
with all dos paper?,neu,0.0
I studied library archival and information science ..,neu,0.0
Please I need link to information consulting firm,pos,0.3182
"Environmental health science,   I am currently serving.",neu,0.0
I studied Biusines Administration but now run my own business,neu,0.0
Henri Fayol of Nairaland. I salute you sir,neu,0.0
Please how were you able to get this job,pos,0.3182
"Professional certificates,   connection etc",neu,0.0
Study mass communication now am a site engineer,neu,0.0
I studied SOCIAL ENGINEERING and INDUSTRIAL BIOLOGY,neu,0.0
it's a lie. ,neu,0.0
"Where did you study ? Where did you do house job? Nysc? What's your location and years of experience. If you are qualified,   clinically sound and proficient,   I will get you a job.",neu,0.0
"What is Bizz admin? Are you this mad? Wouldn't it make you look saner if you had typed "" Bus admin""?  Or what would it have taken you type ""business"" you day craze sha. Quote me amadioha will visit you this night.  ",neg,-0.7087
"I studied Journalism but I currently look after Maintenance Planning and Engineering Compliance in a corporation,   which also makes me look after engineering inventory and ensure alignment of the business with global engineering standards.",pos,0.5267
"Bro,   this is a nice course o. Be on the look out for jobs from international development agencies and NGOs.",pos,0.4215
Do a specialist course in monitoring and evaluation (M and E) and volunteer with a local organisation to boost your chances with donor agencies.,pos,0.5423
All the best,pos,0.6369
Graduate of real estate management.. Building websites for a living.,neu,0.0
why I find this question funny I don't know. Well I will answer the question ,pos,0.27
"Growing up I'd always wanted to study international relations but ended up studying Bsc. Business Administration and then MSc. Managing Business with Information Technology at Salford University in Manchester,   Uk but now I'm in the hospitality industry working at an event and hotel management company. ",pos,0.09
Never thought I'd venture into this line of business at all yo,neu,0.0
"Studied medicine and surgery,   now works with spectranet",neu,0.0
he didn't ask you to notice him,neu,0.0
"ESUT,    first Deg,   Biochemistry,   BSc and now a Key Account Manager. Thanks to University of Lagos,   PGD,   Lagos Business School,   MBA and countless seminars.",pos,0.4404
Am sure you didn't finish from medical school,pos,0.3182
"I STUDIED ELECTRICAL AND ELECTRONICS ENGINEERING CURRENTLY IAM A FURTHER MATHEMATICS,   MATHEMATICS,   PHYSICS AND COMPUTER TEACHER",neu,0.0
"Anyway,   you do well,   you still  Manage Public Forum Administration unlike me  do banking and finance but  rear birds and plant crops",pos,0.1406
"Studied,   HND automotive engineering,   BENG mechanical engineering,   MSC project management but  I work as a Well intervention Engr. Oil and gas.",pos,0.3919
life continues brother ,neu,0.0
Life doesn't always work out as planned,neu,0.0
Nursing science still in school though,neu,0.0
Am a political scientist but i work as an automobile service advisor,neu,0.0
Typical Daft rant of a frustrated male.,neg,-0.7003
Stop telling cheap lies.,neg,-0.6124
Where is your office located? I repair my galaxy tab,neu,0.0
Study criminiology and security studies,pos,0.34
I'm a criminiologist,neu,0.0
Take a pill sure it will help.,pos,0.6124
"I studied mass communication,   I just finished NYSC. ",neu,0.0
"Prior to my POP I started a POS business and it's moving well,   infact am loving it. Drop that certificate and hustle.. Nothing beat self employment",pos,0.5994
Travel abroad and earn big,neu,0.0
Is there any hope for those who study Biochemistry in this country?,pos,0.4404
He did Herpetology (Snakeology to Aproko Nairalanders) and you can see he's doing just fine. ,pos,0.2023
very very very difficult to get jobs related directly to geology. only oil company work with very limited demand bt excess supply. you can see job directly asking for engineering/arts/humanities/mass com/law etc but you will hardly see jobs directly asking for geologist. I regret reading dat course,neg,-0.7816
Why not.  You will definitely get.,neg,-0.3089
"Studied petroleum engineering,  I have a math and physics diploma too but  I sell alcohol",neu,0.0
Studied Business Administration and Management. Working.... Nigeria Tax Authority.,pos,0.0772
Studied Adult education but here I am serving and learning barbing skill,neu,0.0
"Studied Entrepreneurial studies,   I am currently working in an investment bank",neu,0.0
"Criminology and security studies studies,   I haven't gotten a job yet, stil on street",pos,0.34
"Can you help. Connect me to the bank, please",pos,0.6124
Studied Biochemistry Presently working as a software engineer + web developer,neu,0.0
Studied Science Laboratory Technology (Chemistry /Biochemistry)  working as a Process Engineer.,neu,0.0
Well I studied zoology from a a a Nigeria university all to graduate and received a certificate in Biology and God helping me am presently a sales Rep in a top Telecom company,pos,0.7351
i studied French but I'm now a native doctor.,neu,0.0
can we talk,neu,0.0
You must be mistaken me for your mother or father,neg,-0.3612
Are you so daft?,neu,0.0
Architecture but now doing Ecommerce/digital marketing/graphics design,neu,0.0
please I want to learn forex. are you in Abuja?,pos,0.3818
Well at least you can turn it to petrol chemical,pos,0.2732
"I studied Mechanical engineering. Currently working with a position of Mechanical Engineer 1,   Level 9",neu,0.0
"Studied womanalogy,   now working as an impregnatornist in my street and neighborhood. No salary,   but I enjoyed every bit of my work.",pos,0.5927
You are into agriculture. I like poultry farming but I don't have time for it.,pos,0.1901
Studied Biochemistry and working as a scientific officer in a Fed agency n a part time music teacher as side hustle.,neu,0.0
Food science and technology but i  work for 9MOBILE,neu,0.0
"May the Lord that did it for you never forget me,   amen.",pos,0.1695
studied geography.  and now doing a construction labour in abuja. some of my colleagues are from niger republic,neu,0.0
Studied criminology Working as a bank cleaner ,pos,0.1779
I swear this's the fact,neg,-0.0516
"Education is not a scam in european contries but here in nigeria,   EDUCATION IS SCAM!!!!",pos,0.4883
Mass communication.. Former bricklayer. Now Sim registration agent.,neu,0.0
"With all this? I feel like crying.. Please don't mention this kind thing again. If your pay is Above 250,000NGN as a company secretary then you can keep mentioning it. ",pos,0.8126
My fellow criminologist how the hustle you see work so? Let's connect and help ourselves,pos,0.4019
I read Accounting HND and Finance n Banking B.Sc but ended up,neu,0.0
Physics but teaching in a good School,pos,0.5927
Study biochemistry now working as chemical analyst in a pharmaceutical company,neu,0.0
Of course,neu,0.0
English Language (B. A. HONS)/International Relations and Strategic Studies (M. A.).. I am a Logistics Officer in a Cement Company,neu,0.0
"Well,   I studied economics ",pos,0.2732
"Currently working as a business man and an ""enforcer""( You know the kind that makes people cough up money they refuse to pay,   like debt,   rent etc) ",pos,0.2023
I am a good guy....probably,pos,0.4404
Studied computer science Working as a material management officer,neu,0.0
We plenty oh fellow criminologist let's hook up and think of a way out before it's too late,neu,0.0
"Polymer and Processing Engineering right now, I deal on electronics generally",neu,0.0
Meanwhile check out my signature and thread for beautiful offers on electronics,pos,0.5994
studied Public administration but working as an industrial machine operator,neu,0.0
hahaha... I was a solar guy in Lagos for three years. I did a lot of solar installations in that lekki ehn...,neu,0.0
"I advice you to advance your self by learning arduino microcontroller so as to add beautiful programming dimension to that field. The local Alabama boys are taking over and spoiling market. Installation we used to do for 150k those days,   they now do it for even 40k because they are desperate.",pos,0.3818
Studied Electrical and Electronic Engineering. I am a drilling Engineer with a multinational oil company,neu,0.0
"how do I reach u,  will like to share an idea with u.",pos,0.5859
Studied Petroleum Engineering but now a data scientist.,neu,0.0
Wood Technology Now works as an ICT Admin,neu,0.0
I studied Biz Admin end up as driver of Uber,neu,0.0
"It's fun,   just like teaching,   requires dedication,   patience and extra endurance.",pos,0.7003
"Laslas,   we go make am through hardwork and some bit of luck from the unseen forces",pos,0.4588
"I studied procurement and supply but, working as an iron bender and Welder",neu,0.0
studied education by choice and not by force and presently teaching,neu,0.0
Trying to reap where you did not sow is sin.,pos,0.4449
The so called SSANU should know this.,neu,0.0
Please shut up there,pos,0.3182
"I saw them chanting ""solidarity"" songs on tv as if they care about the students or their lives and time that is wasting away, greedy men",neg,-0.2023
ASUU is a corrupt union fighting to keep looting money without transparency,neg,-0.3612
It is well,pos,0.2732
Time for them to share their own palliatives! ,pos,0.3595
They don't care about how long we stay at home.,neg,-0.3875
Thieves everywhere.,neg,-0.5106
Nigeria and unjust sharing is like 5 and 6 please.. the other day that one wanted to collect around 80million just to clear stadium ,pos,0.5574
their problem not ours,neg,-0.4019
"After Assu strike is over,   expect SSANU and NASU strike",neg,-0.25
"And then finally,   another ASUU strike because I'm sure the government will renege on their agreements with them in a few months time because I'm so sure other government agencies will bring out their own payments platform and then they'll be forced to abandon the UTAS. ",neg,-0.1779
And the Nigerian Students keep suffering ,neg,-0.4767
Sighs,neu,0.0
The government should adjust their IPPIS system to accomodate ASUU. I don't think it's obtainable for an employee to tell an employer how to pay them.,neg,-0.1027
it's necessary,neu,0.0
Y'all have a nice week... practice peace,pos,0.743
See them.. Greedy cows. Meanwhile.. ,neg,-0.3182
The students are the ones suffering this whole thing. After staying at home,neg,-0.4767
An extra year added to their academic calendar,neu,0.0
But these ASUU people will get paid in a moment,neu,0.0
I just hope universities get equipped after these whole saga,pos,0.4404
Coz it will be quite unfortunate,neg,-0.5095
Its is Earned Academic Allownce (EAA). So I wonder why SSANU members see themselves as Academic Staff. Not anymore!,neu,0.0
"Truth be told,   how can earned allowance that is the right of all staff in the university be cornered by a section of staff. Whether you are the one that attracted or not,   everyone should get his due.",pos,0.4588
"Ask yourself,   if ASUU takes larger share of EA that every staff is entitled to,   just because they made more noise about it,   are they any different from the politicians they're fighting?",pos,0.2023
thieves,neg,-0.5106
It's always about personal benefit for Nigerian public officers.,pos,0.4588
Thieves..,neu,0.0
I study political science and international relation but I work in and engineering firm as an operation manager,neu,0.0
"I studied Educational Management but currently I am doing Facebook Business,   working as a Facebook content developer on Facebook where I earn money by creating content on Facebook with Facebook Adbreaks Facebook",pos,0.4215
Brands Collabs Manager and Facebook Instant Article.. Aiming to have my own website very soon!!,neu,0.0
Read economics but working in an audit firm as a chartered accountant,neu,0.0
After synthesizing protein for 4 yrs or whatever it is you guys did   ,neu,0.0
Sociology and i am an Alpha Jet pilot now,neu,0.0
"Study Psychology,   I am forensic analyst in a top security firm in this crime infested society.",neg,-0.2323
"Also ex ACCA student,   passed some courses,   got bored  please make i focus on my job",pos,0.0516
And you think is not better,neg,-0.3412
crobiology and currently heading the microbiology section of a pharmaceutical company and also a quality control officer of same company.,neu,0.0
"My main income though, is from my side hustle as I co-own an agency that deals on landed properties.",neu,0.0
"My boss once told me, I would never become rich through my monthly salary,   and he was right. Guys get urselves side hustles",neg,-0.4449
Stop taking our jobs!! ,neg,-0.4184
That's very much in line with your discipline.,neu,0.0
"I studied law,   practiced without pay for a long while,   and now I am desperately looking for a job.",neg,-0.3191
At least I can take solace in the fact that there are many of us out there that regret studying Geology....,neg,-0.4215
Nice one,pos,0.4215
"mathematics and statistics now a civil defense officer,   after 10 yrs even formula to find mean I no remember again.",neg,-0.1779
Microbiology Now in Agriculture and Tutoring,neu,0.0
"Studied Electrical Engineering,   but now I am a software engineer",neu,0.0
"I studied Animal Production and Health,   now a teacher and fashion designer.",neu,0.0
Sorry o. I am now working for myself. I am not working for anybody and I didn't take anybody's job.,neg,-0.0772
My dear....... I'm not yet freaked out.... This biochemistry must favour me...,pos,0.5842
"I studied Chemistry,   now working as Quality Control Chemist  ",neu,0.0
"I studied biochemistry too,   nothing serious since 2017. Am surprised seeing a biochemist getting a job in his field. please can I pm?",pos,0.5302
"study biology,   working on nairaland",neu,0.0
Studied Zoology. Now a mobile phone technician.,neu,0.0
"I studied sociology and I work in human resources and I have a booming transportation business that pays more than 150k per week,  i also do graphic design and web developing thanks to UDEMY,  I think I made a great career choice. I also do part time counselling too(doesn't pay much but I love it)",pos,0.8872
I studied History. I am working in the financial industry,neu,0.0
Nice,pos,0.4215
U are still growing.....,neu,0.0
You will understand better in future.,pos,0.4404
I studied English Language/Literary studies but now jobless,neu,0.0
you are not a working chemist.  you are a security specialist.,pos,0.34
You are still doing biology...... Skin Biology  ,neu,0.0
Course: Computer Science,neu,0.0
"Currently a Virtual Assistant,   Online Tutor and Domainer",neu,0.0
who are you to give us advise?,neu,0.0
I studied Business Administration. I work in one of the banking industry,neu,0.0
I  would like to learn from you but I don't know the state you are,pos,0.1901
any knowledge before you went to study medicine?,neu,0.0
I currently work as a lecturer in one of the top Federal Universities in Nigeria and I also run a private consultancy firm with bias in Geotechnical Engineering.,pos,0.1027
"So you are a zoogerian,   who studied zoology in a zoo.... Prepare yourself for presidency",neu,0.0
I studied biochemistry but it seems it was a wrong course I studied. I don't  mind if you can help me something. can I pm ma?,neg,-0.1531
"Studied economics,   now a nurse ",neu,0.0
You're not wrong.,pos,0.3724
We are not studying what we need to study here at all.,neu,0.0
We are just copying western countries in theory but it's opposite in practice,neu,0.0
Engineers are always taking accounting and other finance related jobs,neu,0.0
I wish you the best of luck in your independent practice,pos,0.872
Chemist: telecom hardware dealer...,neu,0.0
Studied Political Science.,neu,0.0
Working as a uniform personnel,neu,0.0
nawao... Bro I'm thinking of this welding work please.. Hope e make sense well.,pos,0.6124
. ,neu,0.0
"Same here my mbaise lady,   but I ain't chartered.",neu,0.0
Please which security firm and I need a job I have a degree in criminology and security studies,pos,0.7269
I studied Agricultural  and Environmental Engineering.........I am now a lecturer in the same field in one of Nigeria Federal Polytechnics.,neu,0.0
I studied Marketing. Working from home  ,neu,0.0
"Studied Industrial Chemistry,   and now working as a scientific Officer in a Government agency.",neu,0.0
I studied biochemistry Teaching in a primary school,neu,0.0
"I studied industrial chemistry, worked as a chemistry teacher but now a freelancer while still looking for a job.",pos,0.3919
I studied Accounting & working as an Accountant,neu,0.0
I study Applied Geology in my Undergrad. Industrial Engineering MSc. Now working as a Data Analyst.,neu,0.0
I studied BA Christian Studies but would like to learn about Solar as no job seems to be coming,pos,0.1154
Am still studying mass communication and am also learning printing press.,neu,0.0
No problems,neg,-0.5994
You must be high ...,neu,0.0
"Between business admin and Accounting, Which one is the best.",pos,0.6369
"I study biochemistry/chemistry technology in one of the universities in the southern region,    but now I'm a programmer,   and deal more on information technology",neu,0.0
I am not the HR and don't think I will tell you where I work.,neu,0.0
A graduate of General agriculture but am an engineer at CBN.,neu,0.0
Study business administration but now am a Janitor.,neu,0.0
"Nice job... I will like to meet you if you don't mind bro,   presently I am underemployed...",pos,0.6486
"Unfortunately,   am Cisco certified.. Studied CCNA during the 2012 long ASUU strike",neg,-0.4404
studied Applied mathematics currently a sales executive,neu,0.0
Happy birthday to you,pos,0.5719
I studied Information Technology worked for 4 years in Humanitarian projects with NGO and currently working at ICT department in a government institution as Program Analyst. Thank God I'm now practicing what I studied.,pos,0.5574
Mechanical Engineering. Worked for 4 years in finance. Currently in oil and gas with a small micro finance as side hustle....,neu,0.0
sorry bro we're too many and the work is about to get done,neg,-0.0772
could you please teach me,pos,0.3182
Studied Banking and Finance with ICAN.... Still  teach for secondary school. Looking for Audit firm as Audit trainee.,neu,0.0
I just start life? you're funny,pos,0.4404
locate a firm around oshodin bolade area called trident electrical. Check the address on google for confirmation. They do good training for about 18k,pos,0.4404
"If you are on the island,   then browse for gennex in lekki. They train too. If you have any question along the line,   I am willing to assist",neu,0.0
 I'm living in the future already,neu,0.0
"I studied Industrial Chemistry today I'm a hotelier,   supply drinks,   produce chemical,   fumigate and do cleaning services.... To survive in Nigeria several job is necessary.... especially when you return trying to raise a family.",neu,0.0
"Nursing science, Working as a Nurse in one of the  federal hospitals,   part time lecturer in a school of nursing,   also own and managing a daycare facility,   I have a dream to expand in opening a private  primary school this year. ",pos,0.5106
"Life is full of opportunities,   don't limit yourself to ""what you studied in school """,pos,0.3818
Be versatile and think outside the box,neu,0.0
Why can't you open a church? Thank me later ,pos,0.3612
wow thanks alot but I am in ilorin,pos,0.5187
I will still have to go to seminary school,neu,0.0
Computer Science. Working as a Tech Support Analyst in a Tech company.,pos,0.4019
"Thanks so much sir,   we will surely share our testimonies here too by God's grace.",pos,0.8689
Have plans to set up a poultry farm some time next year.,neu,0.0
Can we talk outside NL,neu,0.0
I heard you combined the trade with weed too. ,neu,0.0
You are  a strong man my brother,pos,0.5106
Education is not scam,pos,0.4585
It makes you prepared for life and its opportunities. ,pos,0.5423
"Where you start is not the issue,   it's how you finish. See the job as a starting point for a wonderful career. Keep pushing",pos,0.5719
"This is my next line of hustle aswear,   how did you start up bro? I mean the capital and all that.",neu,0.0
I studied human Anatomy.....now am working at a warehouse...Nigeria hustle,neu,0.0
"Bsc in anatomy,  couldn't get a job,  went back to school and had Bsc in computer science,  still no job,  went back again,  now i'm an old medical student in my 40's.",neg,-0.296
"judging by this thread,   it's safe to say that those that majored on science related courses,   have a 90% better chance of getting a job than those that studied art courses. it's quite sad really",pos,0.5279
"I was just explaining how the business work.please don't get me wrong ooo,  haa!!",pos,0.4833
I have never done any crime in my life!!non whatsoever!!!,pos,0.6147
"You didn't study medicine. Probably one of those BMS courses like physiology,   anatomy and the likes.",pos,0.6486
"Statistics... An ex-banker,   now working as a Commercial Staff in one of the Power Companies",neu,0.0
Can you please tell me about the transport business? If I can also try my hands on it. It sound very lucrative. What is the capital like?,pos,0.6322
Thanks,pos,0.4404
"I studied political science,   but now a matchmaker and a marriage counselor",neu,0.0
We don't understand,neu,0.0
See question..Help me ask God please,pos,0.5267
What do you do exactly?. Mind sharing?,pos,0.4871
I studied Physics with electronics Well I'm a pig farmer now!  ,pos,0.3382
same story with my bro,neu,0.0
Studied Economics.... practising ICT Networking upto 10yrs post nysc experience,neu,0.0
I studied medicine I'm now a native doctor,neu,0.0
you really get patience.,neu,0.0
are you for real sir?,neu,0.0
"Though, I can also go back to school to study medicine if there is a sponsor since I haven't gotten any sensible job in my line(biochemistry)",neu,0.0
"Urban & Regional Planing,   but now a Hotelier.",neu,0.0
"I studied Microbiology,   and am a Production Supervisor/ Production Analyst in a FMCG company.",neu,0.0
Studying medicine ..thinking of delving into finance ..,neu,0.0
wow that's quite a journey... ,pos,0.5859
I pray your wishes are granted. It's never late to find favor and grace,pos,0.8555
I studied Estate Management and Valuation working with Ogun State Bureau of Lands and Survey Precisely as a Land Officer.,neu,0.0
Can we chat strictly on mail? I have an important talk with you,pos,0.2023
I think it would be better you do a masters instead ..and leave nigeria or lecture ..,pos,0.4019
There are endless possibilities  to these things,neu,0.0
"I studied BSc Zoology,   then MSc Water and Environmental Management. I'm a Monitoring and Evaluation specialist on a USAID project",neu,0.0
"Bro,   I swear  God. immediately I finished my degree in 2018 I quickly enter street hustle gather money for my NYSC. I saved during NYSC camp,   no lavish spending. I got to my ppa in a rural area like that and I discovered that there's no bank nearby so I seize the opportunity,   I make inquiries about the POS stuff and I got to know how lucrative it is.",pos,0.7063
"Luckily for me an ex Corper in my local government got a job with a POS company while serving but he stay put because he was required to work in the state where he served. I used the opportunity and get a POS machine from him,   got a shop and started the business last year December. Then,   I used to shuttle between my work place and my ppa. I reason with my employer about what am doing and he gave me the opportunity. I normally go to school from 8am to 11am by 12pm I japa go hustle for my shop. ",pos,0.8608
"Now that NYSC is over am now a full-time business man,   a got a part time job last month as well to support my hustle and I'm doing fine. ",pos,0.6808
"Also,   I'm nursing my Msc degree ambition abroad,   have already secured the scholarship,   just waiting for corona to vanish so that I can enter embassy collect my visa .",pos,0.4019
Are you serious. ,neg,-0.0772
bro are you angry. leave that guy.,neg,-0.5423
"Yeah,  but it was entirely by accident,   didn't really plan it. ",neg,-0.6082
and it turned out to be the best decision I ever made.,pos,0.6369
"God has truly been good to me,   I return all glory to him.",pos,0.886
"I keep telling everyone/anyone that cares to listen,   ""God over all else"".",pos,0.6249
All these and I ain't even 35 yet.,neu,0.0
I studied agriculture both at degree and masters level. Due to work stress I had to abandon my PhD due to work demand. Currently working with my certificates and experience of 6 years. I work as a field agriculturalist with  many years on the field (profit based companies as well as NGOs). ,neg,-0.6249
My job from graduation has been on the field and Alhamdulillah. ,neu,0.0
"For those agriculturists wanting to be like me ,   don't depend on your class of graduation (Crammers won't like this ) your field experience is far more important. Though I graduated with a strong second class upper (second best student in my set). ",pos,0.9273
"Please potential agriculturists the current goldmine in Nigeria is agriculture,    that is if you know what you are doing.",pos,0.3182
Jesus!!,neu,0.0
There is nothing like career  in Nigeria. It is all about survival.,neg,-0.2755
"Despite finishing with good grades,    I'm currently jobless.  I'm beginning to consider going for  PhD though..  It's not easy getting into the oil and gas sector without connect.",neg,-0.5875
"BSc,   msc pharmaceutical biochemistry,    currently co-own and manage a pharmacy store franchise.",neu,0.0
"Petroleum and gas engineering and still searching for job......please I can do anything,   I just need a job so as to help mum and family and I am also open to traveling if the job condition calls for that",pos,0.4522
 it is pathetic. I wasn't aware what lies ahead maybe because I lack mentorship,neg,-0.5673
"as serious can be. No wife,  no kid,  because i want to make sure no one suffers with me.",neg,-0.7506
"I studied Medicine and Surgery, I work as a medical doctor",neu,0.0
Banking and Finance but working as an Accountant,neu,0.0
Smart man!,pos,0.4574
I love opportunists.Believe me many of your counterparts would have neglected this same business and be chasing pipe dreams.,pos,0.5423
"I saw one lady tell you that ""you are still growing"" and I just laugh ",pos,0.6486
Like what the fuck.,neg,-0.25
1)you are in a rural area meaning you might have so little competition and a huge customer base.,pos,0.2585
2)your pos charge might be higher.,neu,0.0
I see you possible making 10k a day in profit or more....,pos,0.4404
One monkey say you are still growing ,pos,0.1779
Of course you will grow to expand that same business in other limited markets and cash out .,pos,0.1027
You might probably build your brand while she is still earning their usual.,neu,0.0
"Goodluck to you mate,  ",neu,0.0
you can't know everything.,neu,0.0
I studied Engineering Physics. I'm now a General Manager in Oil and Gas firm.,neu,0.0
Mad oh,neg,-0.4939
I studied microbiology as well but still yet to get a job. I don't know if you could be of help. I will appreciate.,pos,0.8248
Just learning...,neu,0.0
Unfortunately I don't have such leverage my dear.,pos,0.0516
Amen,neu,0.0
I studied economics at the  university of ibadan but now working as a nurse with the national health service (NHS ) in England,neu,0.0
please can educational manager work in a firm?,pos,0.3182
"don't even call jesus,  because he didn't help me all those years i was serving and calling him.",neg,-0.3089
I study microbiology as well sir. I will be glad if you can connect me.,pos,0.6249
"I studied B.agric Agricultural Economics, msc Agricultural marketing, Today am working as a marketing unit coordinator in a multinational company in Lagos ,  also I have a pig farm with 96 pigs in it, and a snail farm with up to 324 snails, started it when I was in year two, I Am currently working on creating a social media to connect Agrobusiness entrepreneurs in Nigeria. ",pos,0.296
Thanks,pos,0.4404
Management But now a medical technologist,neu,0.0
Archeology.... guess what I am practicing,neu,0.0
"wanted to be a Lecturer,  first degree Biochemistry, second degree Biochemical Toxicology but currently working as Quality Control Officer in a Food Industry.",neu,0.0
"becoming a pilot is lucrative but becoming one is expensive, but they make money in no time. A friend of mine spent close to 15 million naira becoming a pilot but heard They pay as much as 300 dollars per flight hour",pos,0.2263
I studied Philosophy and currently a admin personnel in a federal university,neu,0.0
Studied medical laboratory science and i'm working in a medical laboratory.,neu,0.0
