comments,sentiments,compound
"We only need 36 university to accept,   11 university has already accepted,   remaining 25 university to go",pos,0.5719
May God punish all the ASUU member including those that rejected and accepted #nonsense,neg,-0.5423
"They will be paid for the months they did not work,   but nobody will pay for the time the student wasted at home",neg,-0.7096
I never hear anything o boss but I go put all of una for update mode,neu,0.0
where did you hear that?,neu,0.0
Where do you get your info from?,neu,0.0
I have no information concerning any school,neg,-0.296
"thank you. why not share confirmed information. who  look for rumour for here? who rumour help? even if youshare am,   at least  consistent.",pos,0.5679
"Oga pack comot for this thread na,   if e  pain you",neg,-0.5106
One of his children actually graduated from a state school in Nigeria.,neu,0.0
Ok fake source,neg,-0.2263
Did you click the link or you just came here to advertise your ignorance,neg,-0.3612
Imagine ASUU taking a critical decision on a matter that affects us without consulting us for our collective opinion  ,neg,-0.296
Nonsense and ingredients.,neg,-0.4019
Students share is #10billion if they finally won the case at the Federal High Court,pos,0.7096
Fake news am telling you guy how would you believe punch,neg,-0.4767
very true.,pos,0.4754
"ASUU strike more than thunder.In few months you  go hear government has not fulfilled their plan,  so,  ASUU to go on strike again.",neg,-0.5158
I wasn't talking to you.,neu,0.0
There is no deception here. Are you involved in any?,neg,-0.6249
Mine is for my Msc. God .,pos,0.2732
Because I care about u,pos,0.4939
Care about me how?,pos,0.4939
They all copied from punch bro.,neu,0.0
This how a typical Nigeria female behave. ,neu,0.0
This one be feeling her self.,pos,0.128
How is the question?,neu,0.0
It's just a question. Ok Thanks for caring,pos,0.8074
"finally,  after all the blah blah blah and blah",neg,-0.3818
"For that merit awards..... The students union government of federal polytechnic,   offa,   need to be sanction,   the organizing committee of their event and the executives should be prosecuted as well.",pos,0.3182
Nonsense.,neg,-0.4019
"In Nigeria,   our past is despicable.",neu,0.0
Our present is depressing,neg,-0.3818
It's also a pity that our future is bleak ,neg,-0.296
i've gotten to dat stage where nothing shock me again except if I hold naked electric wire accidentally....shioor..leaders of 2moro indeed ,pos,0.2924
Our Leaders of Tomorrow sef get K-Leg dem go worst pass all this old man in government...,neg,-0.6249
Fear is really a man's greatest undoing.,pos,0.3134
Cultism is what it is today in Nigeria because Nigerians adore and celebrate it. Especially the females. Just tell them that you are a cultist and watch her off pant for you,pos,0.8074
Nothing is actually wrong until it is made so. The wrong things of yesterday is the right of today due to rottenness brought by civilization. More shocking things to come.,pos,0.2767
This is nothing. ALGON just gave my state governor an award of Excellence earlier today.,pos,0.8225
The governor is owing Local Government employees 5-10 months salary.,neu,0.0
Am not surprise,neg,-0.2057
Curse ,neg,-0.5423
If a cultist can be a governor of rivers of blood,neu,0.0
An award is just a child play,pos,0.7096
"In those days evil is hidden due to shame,   while good is displayed and rewarded. ",neg,-0.34
"In these days,   evil is displayed as an emblem of pride and honour,   while good is chastised and shamed.",neg,-0.4939
Its now obvious that evil is the future while good is the grave. ,neg,-0.6249
We are in for a rough ride indeed.,neu,0.0
This country is finished!,neu,0.0
I don't believe this...,neu,0.0
Someone printed this in hiding,neg,-0.296
Just to frame the SUG,neu,0.0
Nigeria never die reach there!,pos,0.521
